tradingsymbol,name,instrument_token,expiry,strike,instrument_type,lot_size,exchange
NIFTY,NIFTY,99926000,NaT,0,INDEX,50,NSE
BANKNIFTY,BANKNIFTY,99926009,NaT,0,INDEX,25,NSE
SENSEX,SENSEX,99919000,NaT,0,INDEX,10,BSE
FINNIFTY,FINNIFTY,99926037,NaT,0,INDEX,40,NSE
BANKEX,BANKEX,99919004,NaT,0,INDEX,15,BSE
